URL,GBP_Iframe_Source,Scraped_At,Status
https://squeegeedetail.com/car-detailing-tigard,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2800.638347411741!2d-122.79505548787216!3d45.416631936490205!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x549507a25bbd8d57%3A0xfb6fb54a7fad81da!2sSqueegee%20Detail!5e0!3m2!1sen!2sus!4v1733436882308!5m2!1sen!2sus&wmode=opaque,2025-06-04T10:07:51.645Z,success
https://squeegeedetail.com/car-detailing-vancouver,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2785.7538412675535!2d-122.65348798785911!3d45.71597491648357!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5495adfba783dc6f%3A0x68d0348ad4e7b9d2!2sSqueegee%20Detail%20Car%20Detailing%20Vancouver!5e0!3m2!1sen!2s!4v1733437572966!5m2!1sen!2s&wmode=opaque,2025-06-04T10:07:51.647Z,success
https://squeegeedetail.com/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27083704.123263698!2d-156.9630585!3d34.040889599999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950a16b3b46e0d%3A0x87a91c207feca5b!2sSqueegee%20Car%20Detailing!5e0!3m2!1sen!2s!4v1733436678545!5m2!1sen!2s&wmode=opaque,2025-06-04T10:07:51.677Z,success
