URL,GBP_Iframe_Source,Scraped_At,Status
https://squeegeedetail.com/car-detailing-vancouver,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2785.7538412675535!2d-122.65348798785911!3d45.71597491648357!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5495adfba783dc6f%3A0x68d0348ad4e7b9d2!2sSqueegee%20Detail%20Car%20Detailing%20Vancouver!5e0!3m2!1sen!2s!4v1733437572966!5m2!1sen!2s&wmode=opaque,2025-06-02T16:03:23.878Z,success
https://squeegeedetail.com/car-detailing-vancouver,\&quot;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2785.7538412675535!2d-122.65348798785911!3d45.71597491648357!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5495adfba783dc6f%3A0x68d0348ad4e7b9d2!2sSqueegee%20Detail%20Car%20Detailing%20Vancouver!5e0!3m2!1sen!2s!4v1733437572966!5m2!1sen!2s\&quot;,2025-06-02T16:03:23.878Z,success
https://squeegeedetail.com/car-detailing-vancouver,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2785.7538412675535!2d-122.65348798785911!3d45.71597491648357!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5495adfba783dc6f%3A0x68d0348ad4e7b9d2!2sSqueegee%20Detail%20Car%20Detailing%20Vancouver!5e0!3m2!1sen!2s!4v1733437572966!5m2!1sen!2s&wmode=opaque",2025-06-02T16:03:23.878Z,success
https://squeegeedetail.com/car-detailing-vancouver,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2785.7538412675535!2d-122.65348798785911!3d45.71597491648357!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5495adfba783dc6f%3A0x68d0348ad4e7b9d2!2sSqueegee%20Detail%20Car%20Detailing%20Vancouver!5e0!3m2!1sen!2s!4v1733437572966!5m2!1sen!2s&wmode=opaque,2025-06-02T16:03:23.878Z,success
https://squeegeedetail.com/gallery,,2025-06-02T16:03:29.704Z,no_iframe_found
https://squeegeedetail.com/car-detailing-beaverton,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d11198.634591485124!2d-122.8279405!3d45.436382!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950dbf949b116b%3A0x8bc6b97c3292b686!2sSqueegee%20Car%20Detailing%20Beaverton!5e0!3m2!1sen!2sus!4v1694640259846!5m2!1sen!2sus&amp;wmode=opaque,2025-06-02T16:03:30.748Z,success
https://squeegeedetail.com/car-detailing-beaverton,\&quot;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d11198.634591485124!2d-122.8279405!3d45.436382!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950dbf949b116b%3A0x8bc6b97c3292b686!2sSqueegee%20Car%20Detailing%20Beaverton!5e0!3m2!1sen!2sus!4v1694640259846!5m2!1sen!2sus\&quot;,2025-06-02T16:03:30.748Z,success
https://squeegeedetail.com/car-detailing-beaverton,"""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d11198.634591485124!2d-122.8279405!3d45.436382!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950dbf949b116b%3A0x8bc6b97c3292b686!2sSqueegee%20Car%20Detailing%20Beaverton!5e0!3m2!1sen!2sus!4v1694640259846!5m2!1sen!2sus&amp;wmode=opaque""",2025-06-02T16:03:30.748Z,success
https://squeegeedetail.com/car-detailing-beaverton,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d11198.634591485124!2d-122.8279405!3d45.436382!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54950dbf949b116b%3A0x8bc6b97c3292b686!2sSqueegee%20Car%20Detailing%20Beaverton!5e0!3m2!1sen!2sus!4v1694640259846!5m2!1sen!2sus&wmode=opaque,2025-06-02T16:03:30.748Z,success
https://squeegeedetail.com/car-detailing-hillsboro,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2796.777038444787!2d-122.96670388786886!3d45.49443443129981!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x549511da64d9fffb%3A0x3e39ed129f02b00c!2sSqueegee%20Car%20Detailing%20Hillsboro!5e0!3m2!1sen!2sus!4v1733436824801!5m2!1sen!2sus&amp;wmode=opaque,2025-06-02T16:03:31.051Z,success
